chain,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,collateralAsset,debtAsset,user,debtToCover,liquidatedCollateralAmount,liquidator,receiveAToken,debtAsset_price,collateral_symbol,debt_symbol,liquidated_collateral_amount,debt_amount
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x38bde295b694589826e29fe7ff5fb2206ff4b92f452296f20c35b6a50e28b38e,,,673,2024-03-19 04:24:59.000 UTC,19466402,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x05f94e011ac7bf3998ee249ab2cf401774cb1028,930170818,1495503,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.001413,WBTC,USDC,0.01495503,930.170818
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xbd8b78fdb9062fd97c69842b7a25aed3eb3f964a66eab6b601a7693aa9fae369,,,58,2024-03-19 07:07:11.000 UTC,19467204,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7,0x30e99b0b19574ac11b98728d03eda6179a2c698a,1325052668,2157271,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.002522,WBTC,USDT,0.02157271,1325.052668
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd8b3fa2e20de9b2330a8fc59f9abf6a57f22f1a02042c98597e6efd9aa4a33a8,,,47,2024-03-19 07:11:23.000 UTC,19467225,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x6b175474e89094c44da98b954eedeac495271d0f,0x655102fe724c35a2aebc069c3d344d6fcb50f737,11341094894427642978330,18577654,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.001181,WBTC,DAI,0.18577654,11341.094894427642
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xbc227e04b0382488764d57fdcff4c0648de35f5c86f8dff82b8afaf108b50ac0,,,17,2024-03-19 23:15:47.000 UTC,19471996,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xe967954b9b48cb1a0079d76466e82c4d52a8f5d3,90371307952,152902097,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,false,1.001741,WBTC,USDC,1.52902097,90371.307952
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xc60714e55feac0fd6ae8778a06889d518da4f7b8b69e48ea1d208a8693fffd73,,,93,2024-03-19 23:16:11.000 UTC,19471998,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xdac17f958d2ee523a2206206994597c13d831ec7,0xac09bfb56d8fb953e0adc74dfd01f9a5346894b5,3274014149,5534982,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.00155,WBTC,USDT,0.05534982,3274.014149
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xeeeb99e07c089dcbe4fa7978ea65609c10c03e85746f01aa7d462ef5260f3db2,,,63,2024-03-19 23:59:11.000 UTC,19472210,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xca43952da35f718a50507c5789d5e401fa50bde6,1412324108,2389337,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.001839,WBTC,USDC,0.02389337,1412.324108
