chain,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,collateralAsset,debtAsset,user,debtToCover,liquidatedCollateralAmount,liquidator,receiveAToken,debtAsset_price,collateralAsset_price,collateral_symbol,debt_symbol,liquidated_collateral_amount,debt_amount
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xdfb925b8b9994ab49b867502c0e13d9ab76ad287b532a1e6714809641a5295de,,,26,2024-05-20 19:31:35.000 UTC,19913229,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd23b2ca9f8f0c724ae6435359bd2c950502886b4,3882060474190641152,20069312,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,false,3256.89,69393.07,WBTC,WETH,0.20069312,3.882060474190641
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x337327df7ccadf4d2c3c5481c1ffc91b2cff50ab7396eb3245df6f9aa0baa2e7,,,39,2024-05-20 21:52:59.000 UTC,19913934,,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x862f01e6b2711677c12fe4cc4f3863ffb2e735cb,3805139778638416692,14261837425,0x6fb323bc0a1c0e5991bfc2088b02b6185d8d4232,false,3562.54,1.000309,USDT,WETH,14261.837425,3.805139778638417
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xd2624a0af8c760837043649555c1142be7744c969be18f5e8f39c55a0c81a694,,,20,2024-05-20 21:52:59.000 UTC,19913934,,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x0db87155511f190034a2b73d98f699bfebfbd85f,1619919732890161251760,6071533036509,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,false,3562.54,1.000309,USDT,WETH,6071533.036509,1619.9197328901614
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xf92ec1bab4fae900ed6c0580973b73b670d374dfd3e5df2f0b26932a4fc8abfb,,,20,2024-05-20 22:22:59.000 UTC,19914084,,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x17d879bfe7f6992fc5ca6b2bdd089f32c8670037,430136830472603545216,2374393245,0xb206ebe579be55f5b57119bb2e7cc63708eda1aa,false,3622.5,69947.51,WBTC,WETH,23.74393245,430.13683047260355
