chain,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,collateralAsset,debtAsset,user,debtToCover,liquidatedCollateralAmount,liquidator,receiveAToken,debtAsset_price,collateral_symbol,debt_symbol,liquidated_collateral_amount,debt_amount
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x6931c62c606fd0cf0b4a8b9c4045316c4731313c56b980ec4eaf08183e4cc658,,,77,2024-06-13 02:43:35.000 UTC,20079998,,0xd533a949740bb3306d119cc777fa900ba034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xbe3d423be15aa99abc9606fe28c4f47cec9f646c,8515525207,29655318171719295577482,0xb441dea845a1a03a3e7aee81c03662fd9a1b6fda,false,1.001118,CRV,USDC,29655.318171719297,8515.525207
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xb1b59a45832d0e773e2eb5eb8ee2703cc289456bf3f33daffff1e08f8b775326,,,70,2024-06-13 02:58:23.000 UTC,20080072,,0xd533a949740bb3306d119cc777fa900ba034cd52,0xdac17f958d2ee523a2206206994597c13d831ec7,0x7aa2f57189047cc6cd2c9201a6c4ed240111f861,16095935555,68477609587661178951742,0x64545160d28fd0e309277c02d6d73b3923cc4bfa,false,1.001294,CRV,USDT,68477.60958766118,16095.935555
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xf83407e7956e4344f806261218160e7390577f06dc8d9107c8a495347fd20d27,,,46,2024-06-13 02:58:23.000 UTC,20080072,,0xd533a949740bb3306d119cc777fa900ba034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xc550c0d95fc2a8c56c093de17003dc9f741a6b00,34760271579,147883490557132001741684,0x64545160d28fd0e309277c02d6d73b3923cc4bfa,false,1.001133,CRV,USDC,147883.490557132,34760.271579
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0x45d0a99d55de70ea0f098ddca8823560b4ac0748bba3e23576da8711ce1540a1,,,70,2024-06-13 03:17:59.000 UTC,20080170,,0xd533a949740bb3306d119cc777fa900ba034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x794f2331f69f9d276a3a006953669cd2fc23ab92,1422659637,6110539380995293985434,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.00043,CRV,USDC,6110.539380995294,1422.659637
ethereum,0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,0xaa5301f8eb13577c4ed6aa2e770dfbe602b67f1c15a69399ae7246d1cea6705d,,,99,2024-06-13 03:26:23.000 UTC,20080212,,0xd533a949740bb3306d119cc777fa900ba034cd52,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3ee28b6d1d685007775b9f6abca2c5809d9fa61b,656958399,2741768870846536149380,0x681d0d7196a036661b354fa2a7e3b73c2adc43ec,false,1.00079,CRV,USDC,2741.768870846536,656.958399
