timestamp,blocknumber,sqrtPriceX96,tick,observationIndex,observationCardinality,observationCardinalityNext,feeProtocol,unlocked
1716163199,19907419,4389654252072229229901378,-196027,26,100,100,0,True
1716163211,19907420,4389654252072229229901378,-196027,26,100,100,0,True
1716163223,19907421,4389654252072229229901378,-196027,26,100,100,0,True
1716163235,19907422,4389654252072229229901378,-196027,26,100,100,0,True
1716163247,19907423,4389654252072229229901378,-196027,26,100,100,0,True
1716163271,19907424,4389654252072229229901378,-196027,26,100,100,0,True
1716163283,19907425,4389654252072229229901378,-196027,26,100,100,0,True
1716163295,19907426,4389654252072229229901378,-196027,26,100,100,0,True
1716163307,19907427,4389654252072229229901378,-196027,26,100,100,0,True
1716163319,19907428,4389654252072229229901378,-196027,26,100,100,0,True
1716163331,19907429,4389654252072229229901378,-196027,26,100,100,0,True
1716163343,19907430,4389654252072229229901378,-196027,26,100,100,0,True
1716163355,19907431,4389654252072229229901378,-196027,26,100,100,0,True
1716163367,19907432,4389654252072229229901378,-196027,26,100,100,0,True
1716163379,19907433,4389654252072229229901378,-196027,26,100,100,0,True
1716163391,19907434,4389654252072229229901378,-196027,26,100,100,0,True
1716163403,19907435,4389654252072229229901378,-196027,26,100,100,0,True
1716163415,19907436,4389654252072229229901378,-196027,26,100,100,0,True
1716163427,19907437,4389654252072229229901378,-196027,26,100,100,0,True
1716163439,19907438,4389654252072229229901378,-196027,26,100,100,0,True
1716163451,19907439,4389654252072229229901378,-196027,26,100,100,0,True
1716163463,19907440,4389654252072229229901378,-196027,26,100,100,0,True
1716163475,19907441,4389654252072229229901378,-196027,26,100,100,0,True
1716163487,19907442,4389654252072229229901378,-196027,26,100,100,0,True
1716163499,19907443,4389654252072229229901378,-196027,26,100,100,0,True
1716163511,19907444,4389654252072229229901378,-196027,26,100,100,0,True
1716163523,19907445,4389654252072229229901378,-196027,26,100,100,0,True
1716163535,19907446,4389654252072229229901378,-196027,26,100,100,0,True
1716163547,19907447,4389642937936463855815208,-196027,26,100,100,0,True
1716163559,19907448,4389642937936463855815208,-196027,26,100,100,0,True
1716163571,19907449,4389642937936463855815208,-196027,26,100,100,0,True
1716163583,19907450,4389642937936463855815208,-196027,26,100,100,0,True
1716163595,19907451,4389642937936463855815208,-196027,26,100,100,0,True
1716163607,19907452,4389642937936463855815208,-196027,26,100,100,0,True
1716163619,19907453,4389642937936463855815208,-196027,26,100,100,0,True
1716163631,19907454,4389642937936463855815208,-196027,26,100,100,0,True
1716163643,19907455,4389642937936463855815208,-196027,26,100,100,0,True
1716163655,19907456,4389642937936463855815208,-196027,26,100,100,0,True
1716163667,19907457,4389642937936463855815208,-196027,26,100,100,0,True
1716163679,19907458,4389642937936463855815208,-196027,26,100,100,0,True
1716163691,19907459,4389642937936463855815208,-196027,26,100,100,0,True
1716163703,19907460,4389642937936463855815208,-196027,26,100,100,0,True
1716163715,19907461,4389642937936463855815208,-196027,26,100,100,0,True
1716163727,19907462,4389642937936463855815208,-196027,26,100,100,0,True
1716163739,19907463,4389642937936463855815208,-196027,26,100,100,0,True
1716163751,19907464,4389642937936463855815208,-196027,26,100,100,0,True
1716163763,19907465,4389642937936463855815208,-196027,26,100,100,0,True
1716163775,19907466,4389642937936463855815208,-196027,26,100,100,0,True
1716163787,19907467,4389642937936463855815208,-196027,26,100,100,0,True
1716163799,19907468,4389642937936463855815208,-196027,26,100,100,0,True
1716163811,19907469,4389642937936463855815208,-196027,26,100,100,0,True
1716163823,19907470,4389642937936463855815208,-196027,26,100,100,0,True
1716163835,19907471,4389642937936463855815208,-196027,26,100,100,0,True
1716163847,19907472,4389642937936463855815208,-196027,26,100,100,0,True
1716163859,19907473,4389642937936463855815208,-196027,26,100,100,0,True
1716163871,19907474,4389642937936463855815208,-196027,26,100,100,0,True
1716163883,19907475,4389642937936463855815208,-196027,26,100,100,0,True
1716163895,19907476,4389642937936463855815208,-196027,26,100,100,0,True
1716163907,19907477,4389642937936463855815208,-196027,26,100,100,0,True
1716163931,19907478,4389642937936463855815208,-196027,26,100,100,0,True
1716163943,19907479,4389642937936463855815208,-196027,26,100,100,0,True
1716163955,19907480,4389642937936463855815208,-196027,26,100,100,0,True
1716163967,19907481,4389642937936463855815208,-196027,26,100,100,0,True
1716163979,19907482,4389642937936463855815208,-196027,26,100,100,0,True
1716163991,19907483,4389642937936463855815208,-196027,26,100,100,0,True
1716164003,19907484,4389642937936463855815208,-196027,26,100,100,0,True
1716164015,19907485,4389642937936463855815208,-196027,26,100,100,0,True
1716164027,19907486,4389642937936463855815208,-196027,26,100,100,0,True
1716164039,19907487,4389642937936463855815208,-196027,26,100,100,0,True
1716164051,19907488,4389642937936463855815208,-196027,26,100,100,0,True
1716164063,19907489,4389642937936463855815208,-196027,26,100,100,0,True
