relay,slot,block_hash,builder_pubkey,value,gas_used,gas_limit
flashbots,10981127,0xf0d205741d502b63adfaf71deff9311c1ad05eec712d80130f1d1da49330face,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,191407140127122099,21592283,30350081
flashbots,10981095,0xefc5c55e7a8682a8c257d201263386c85f82590c005278aa80a68280beffe9d2,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,63898375566539490,16918550,30648371
flashbots,10981074,0x5357f50d8112a048a3c4776ee74957b27f8f98003dc0add8011f47c27ca79801,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,51573624244442324,15747687,30798689
flashbots,10981065,0x1d0e1d4435eef7ad0dec4f09f2ae3454febdac474494b324d40a7ab3fec9ccb7,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,25415554058833998,10265996,30828911
flashbots,10981059,0x0bd105d19c1cb433e7367c450765858edffc26ab1e8b1f9308078f42efa50bd3,0xa9bd259c09a526915575d096fd659d1e207caa94c7f92d584d256a5090dd5d81369e8fe67b8cc89b87199084aa42e20a,59446778241131422,5500224,30768847
flashbots,10981052,0x7adb5176d3a29c853b8270d25e18be0efe7652666dcbf9089a9fa7980932dbaf,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,118392381231361918,7876072,30799011
flashbots,10981051,0x00799e8c42da7fc6a6b22231df2403e645059fada8bd7d852d484a1938acf88f,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,242791338510915707,17089004,30768965
flashbots,10981049,0x2748440b5cd284c093d61515c2d3e1256c06f16297ac2a556f4de18d90feb756,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,73488505442337737,23441764,30768995
flashbots,10981047,0x19280423b8a9b543217038de82c865c83b5fead9a20d3314c83e277ce72eab48,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,234481610646284061,11307386,30708990
flashbots,10981039,0x29d6ba2baaea3734a4d7f24008e4de42278d403f00de67ff8aaff958b6cf369e,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,85642505116333812,12354755,30709109
flashbots,10981038,0x0172cb9b9ee765b86c91fe13c8f873daecb6892106b2f0aed07813b595c3c80c,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,252306348180263686,9671651,30739126
flashbots,10980999,0x7e544ee53e913878396b472d59356c8315b4fe2303127cfba58923c967d9c6d6,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,237314396151443062,15168311,30679707
flashbots,10980986,0x3db7fd204fcf79ac5fc6ecb626008f0d5f558e7ef08d387a6d4c88e7dedf7522,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,585421772538481474,10131217,30709871
flashbots,10980985,0x81ee4fb678b38edc4fee371a14f75d94883de770be163c9fae2f0c42a1fd9392,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,98269503131601721,12789416,30739889
flashbots,10980969,0xd7192fd26716f4a870e8dc4df3f875ba6a35e917b7d96acdb5f8523b789bdcf7,0xacb407cfb554255db2fbbb320f79bb7f1cc1e8d2dc43324e8e31baafd0836340d49c43eebc51828f53bf6d364f9ac207,32816846892872889,8822131,30770140
flashbots,10980961,0xa907eae980b0caca9f2443e9ee439f9ef819a68ac1760f353ed6ecf44febe5c4,0xb3a6dc1f159cd010d6d4999822337524576d9ef9d14f34dc7337a735f2d80cd4d64414da809661967df09f39320bc2df,94294507709265332,5889505,30710221
flashbots,10980925,0xd6d31d21126f5898aa3e2f5021f47a990f64090df0d9cf49daaf1c18c57b5898,0xa2d994ea26d7c3b94b444fc2f2a6070d5cc8164e51d1a5c65db8ad6381ba5fc5e0eb3aa088b46e8da96b5167f9b97569,154693902121887228,9076503,30412313
flashbots,10980903,0xd53cabebb2c7050f21697a2c8464d1ba7abfc0f85a18b51c7005ee1acaa58de0,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,41346475973957925,11746328,30353294
flashbots,10980888,0x2b135556e986bc0fb57065a851e1fc6f2063464054a3ba3bebf195221d109fe3,0xb67eaa5efcfa1d17319c344e1e5167811afbfe7922a2cf01c9a361f465597a5dc3a5472bd98843bac88d2541a78eab08,173271540104787943,15155304,30087914
flashbots,10980885,0xaca1b6cd10ab7b9dca52ea7235a050fa3c58c22d5f659b7b38b369a4fb4a2b69,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,576018199704938213,17434230,30058590
flashbots,10980872,0x9b3c651ae620681fe403ddd61488047a6ff38a4e1353cfb9e9a23bc31106b4cb,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,400104907699669394,2826421,30029036
flashbots,10980869,0x6ffc84f2e196edf57993ac4942b8545ed133b914be4db6376d09f68dd6eece56,0xa21a2f4807a2bcb6b07c10cea241322e0910c30869c1e4eda686b0d69bdcb74d2a140ef994afcf0bb38e0b960df4d2ee,133643107734731718,16071280,30117179
flashbots,10980821,0x154660aaeff70f63d8cebc3430596e381b4c98410b110c09172df5193a3b0bfc,0xa2d994ea26d7c3b94b444fc2f2a6070d5cc8164e51d1a5c65db8ad6381ba5fc5e0eb3aa088b46e8da96b5167f9b97569,110142986044174584,7178837,30204456
flashbots,10980813,0xeb0906e66f8308ee03255678db9c1086a4440875b64741d4687d6e8f7e3106f6,0xb26f96664274e15fb6fcda862302e47de7e0e2a6687f8349327a9846043e42596ec44af676126e2cacbdd181f548e681,477547687585064862,27847223,30263620
flashbots,10980802,0x8bc0889b098dd78cb75c200a99178874d2bb6f00ede6207fc0a212a315bb49ad,0x840c9dafb68f5cd460b5d5677b85114e89187e7c890f11a8c5fc4a3e4f4aa74136ef0fcd62cf7de9741afcf7d4d3360d,113673652539570477,12866320,30175251
