timestamp,blocknumber,sqrtPriceX96,tick,observationIndex,observationCardinality,observationCardinalityNext,feeProtocol,unlocked
1732924799,21296777,4751253212106131502455905,-194444,42,100,100,0,True
1732924811,21296778,4751253212106131502455905,-194444,43,100,100,0,True
1732924823,21296779,4751253212106131502455905,-194444,43,100,100,0,True
1732924835,21296780,4751253212106131502455905,-194444,43,100,100,0,True
1732924847,21296781,4751253212106131502455905,-194444,43,100,100,0,True
1732924859,21296782,4751253212106131502455905,-194444,43,100,100,0,True
1732924871,21296783,4751253212106131502455905,-194444,43,100,100,0,True
1732924883,21296784,4751253212106131502455905,-194444,43,100,100,0,True
1732924895,21296785,4751253212106131502455905,-194444,43,100,100,0,True
1732924907,21296786,4751253212106131502455905,-194444,43,100,100,0,True
1732924919,21296787,4751253212106131502455905,-194444,43,100,100,0,True
1732924931,21296788,4751253212106131502455905,-194444,43,100,100,0,True
1732924943,21296789,4751253212106131502455905,-194444,43,100,100,0,True
1732924955,21296790,4751253212106131502455905,-194444,43,100,100,0,True
1732924967,21296791,4751249464366059066959722,-194444,43,100,100,0,True
1732924979,21296792,4751249464366059066959722,-194444,43,100,100,0,True
1732924991,21296793,4751249464366059066959722,-194444,43,100,100,0,True
1732925003,21296794,4751249464366059066959722,-194444,43,100,100,0,True
1732925015,21296795,4751249464366059066959722,-194444,43,100,100,0,True
1732925027,21296796,4751249464366059066959722,-194444,43,100,100,0,True
1732925039,21296797,4751249464366059066959722,-194444,43,100,100,0,True
1732925051,21296798,4751249464366059066959722,-194444,43,100,100,0,True
1732925063,21296799,4751249464366059066959722,-194444,43,100,100,0,True
1732925075,21296800,4751249464366059066959722,-194444,43,100,100,0,True
1732925087,21296801,4751249464366059066959722,-194444,43,100,100,0,True
1732925099,21296802,4751249464366059066959722,-194444,43,100,100,0,True
1732925111,21296803,4751249464366059066959722,-194444,43,100,100,0,True
1732925123,21296804,4751249464366059066959722,-194444,43,100,100,0,True
1732925135,21296805,4751249464366059066959722,-194444,43,100,100,0,True
1732925147,21296806,4751249464366059066959722,-194444,43,100,100,0,True
1732925159,21296807,4751249464366059066959722,-194444,43,100,100,0,True
1732925171,21296808,4751249464366059066959722,-194444,43,100,100,0,True
1732925183,21296809,4751249464366059066959722,-194444,43,100,100,0,True
1732925195,21296810,4751249464366059066959722,-194444,43,100,100,0,True
1732925207,21296811,4751249464366059066959722,-194444,43,100,100,0,True
1732925219,21296812,4751249464366059066959722,-194444,43,100,100,0,True
1732925231,21296813,4751249464366059066959722,-194444,43,100,100,0,True
1732925243,21296814,4751249464366059066959722,-194444,43,100,100,0,True
1732925255,21296815,4751249464366059066959722,-194444,43,100,100,0,True
1732925267,21296816,4751249464366059066959722,-194444,43,100,100,0,True
1732925279,21296817,4751249464366059066959722,-194444,43,100,100,0,True
1732925291,21296818,4751249464366059066959722,-194444,43,100,100,0,True
1732925303,21296819,4751249464366059066959722,-194444,43,100,100,0,True
1732925315,21296820,4751249464366059066959722,-194444,43,100,100,0,True
1732925327,21296821,4751249464366059066959722,-194444,43,100,100,0,True
1732925339,21296822,4751249464366059066959722,-194444,43,100,100,0,True
1732925351,21296823,4751249464366059066959722,-194444,43,100,100,0,True
1732925363,21296824,4751249464366059066959722,-194444,43,100,100,0,True
1732925375,21296825,4751249464366059066959722,-194444,43,100,100,0,True
1732925387,21296826,4751249464366059066959722,-194444,43,100,100,0,True
1732925399,21296827,4751249464366059066959722,-194444,43,100,100,0,True
1732925411,21296828,4751249464366059066959722,-194444,43,100,100,0,True
1732925423,21296829,4751249464366059066959722,-194444,43,100,100,0,True
1732925435,21296830,4750639812128742885324619,-194446,44,100,100,0,True
1732925447,21296831,4750639812128742885324619,-194446,44,100,100,0,True
1732925459,21296832,4750639812128742885324619,-194446,44,100,100,0,True
1732925471,21296833,4750639812128742885324619,-194446,44,100,100,0,True
1732925483,21296834,4750639812128742885324619,-194446,44,100,100,0,True
1732925495,21296835,4750639812128742885324619,-194446,44,100,100,0,True
1732925507,21296836,4750639812128742885324619,-194446,44,100,100,0,True
1732925519,21296837,4750513779715912993279571,-194447,45,100,100,0,True
1732925531,21296838,4750513779715912993279571,-194447,45,100,100,0,True
1732925543,21296839,4750513779715912993279571,-194447,45,100,100,0,True
1732925555,21296840,4750513779715912993279571,-194447,45,100,100,0,True
1732925567,21296841,4750231507392716566581103,-194448,46,100,100,0,True
1732925579,21296842,4749482111383378435808810,-194451,47,100,100,0,True
1732925591,21296843,4749482111383378435808810,-194451,47,100,100,0,True
1732925603,21296844,4749482111383378435808810,-194451,47,100,100,0,True
1732925615,21296845,4749482111383378435808810,-194451,47,100,100,0,True
1732925627,21296846,4749482111383378435808810,-194451,47,100,100,0,True
1732925639,21296847,4749482111383378435808810,-194451,47,100,100,0,True
1732925651,21296848,4749482111383378435808810,-194451,47,100,100,0,True
